season,Unnamed: 0,movie,studio,gross,release,time
Q2 2002,1948,My Big Fat Greek Wedding,IFC Films,240742368,2002/4/19,2002/6/30
Q4 1991,155,My Girl,Columbia Pictures,59489799,1991/11/27,1991/12/31
Q4 1989,6,National Lampoon's Christmas Vacation,Warner Bros.,71319526,1989/12/1,1989/12/31
Q4 2004,2939,National Treasure,Walt Disney Studios Motion Pictures,168521875,2004/11/19,2004/12/31
Q4 2007,4761,National Treasure: Book of Secrets,Walt Disney Studios Motion Pictures,215306145,2007/12/21,2007/12/31
Q4 2006,4118,Night at the Museum,Twentieth Century Fox,250860439,2006/12/22,2006/12/31
Q2 2009,6064,Night at the Museum: Battle of the Smithsonian,Twentieth Century Fox,177211996,2009/5/22,2009/6/30
Q2 1999,1026,Notting Hill,Universal Pictures,116089678,1999/5/28,1999/6/30
Q4 2001,1628,Ocean's Eleven,Warner Bros.,183417150,2001/12/7,2001/12/31
Q4 2004,2950,Ocean's Twelve,Warner Bros.,125544280,2004/12/10,2004/12/31
Q2 2006,4109,Over the Hedge,DreamWorks,155019340,2006/5/19,2006/6/30
Q1 2013,8569,Oz the Great and Powerful,Walt Disney Studios Motion Pictures,232613195,2013/3/8,2013/3/31
Q3 1989,3,Parenthood,Universal Pictures,100047830,1989/8/2,1989/9/30
Q4 1998,877,Patch Adams,Universal Pictures,135026902,1998/12/25,1998/12/31
Q2 2001,1622,Pearl Harbor,Walt Disney Studios Motion Pictures,198542554,2001/5/25,2001/6/30
Q2 2007,4749,Pirates of the Caribbean: At World's End,Walt Disney Studios Motion Pictures,309420425,2007/5/25,2007/6/30
Q3 2006,4102,Pirates of the Caribbean: Dead Man's Chest,Walt Disney Studios Motion Pictures,422614379,2006/7/7,2006/9/30
Q2 2011,7229,Pirates of the Caribbean: On Stranger Tides,Walt Disney Studios Motion Pictures,237710309,2011/5/20,2011/6/30
Q3 2003,2350,Pirates of the Caribbean: The Curse of the Black Pearl,Walt Disney Studios Motion Pictures,305413918,2003/7/9,2003/9/30
Q2 2015,10026,Pitch Perfect 2,Universal Pictures,184296230,2015/5/15,2015/6/30
Q3 2001,1625,Planet of the Apes,Twentieth Century Fox,180011740,2001/7/27,2001/9/30
Q2 1995,558,Pocahontas,Walt Disney Studios Motion Pictures,141579773,1995/6/16,1995/6/30
