,season,Unnamed: 0,movie,studio,gross,release,time,quarter,year
64,Q2 2003,2353.0,Bruce Almighty,Universal Pictures,242829261.0,2003/5/23,2003/6/30,Q2,2003
381,Q4 2003,2357.0,The Matrix Revolutions,Warner Bros.,139313948.0,2003/11/5,2003/12/31,Q4,2003
374,Q4 2003,2352.0,The Lord of the Rings: The Return of the King,New Line Cinema,377027325.0,2003/12/17,2003/12/31,Q4,2003
380,Q2 2003,2351.0,The Matrix Reloaded,Warner Bros.,281576461.0,2003/5/15,2003/6/30,Q2,2003
255,Q3 2003,2350.0,Pirates of the Caribbean: The Curse of the Black Pearl,Walt Disney Studios Motion Pictures,305413918.0,2003/7/9,2003/9/30,Q3,2003
114,Q2 2003,2349.0,Finding Nemo,Walt Disney Studios Motion Pictures,339714978.0,2003/5/30,2003/6/30,Q2,2003
287,Q2 2004,2930.0,Shrek 2,DreamWorks Distribution,441181022.0,2004/5/19,2004/6/30,Q2,2004
385,Q1 2004,2932.0,The Passion of the Christ,Newmarket Films,369895388.0,2004/2/25,2004/3/31,Q1,2004
240,Q4 2004,2939.0,National Treasure,Walt Disney Studios Motion Pictures,168521875.0,2004/11/19,2004/12/31,Q4,2004
213,Q4 2004,2942.0,Meet the Fockers,Universal Pictures,279261160.0,2004/12/22,2004/12/31,Q4,2004
301,Q2 2004,2931.0,Spider-Man 2,Sony Pictures Releasing,373585825.0,2004/6/30,2004/6/30,Q2,2004
149,Q2 2004,2933.0,Harry Potter and the Prisoner of Azkaban,Warner Bros.,249541069.0,2004/6/4,2004/6/30,Q2,2004
362,Q4 2004,2934.0,The Incredibles,Walt Disney Studios Motion Pictures,256887647.0,2004/11/5,2004/12/31,Q4,2004
333,Q3 2004,2936.0,The Bourne Supremacy,Universal Pictures,176241941.0,2004/7/23,2004/9/30,Q3,2004
388,Q4 2004,2938.0,The Polar Express,Warner Bros.,162775358.0,2004/11/10,2004/12/31,Q4,2004
343,Q2 2004,2935.0,The Day After Tomorrow,Twentieth Century Fox,186716750.0,2004/5/28,2004/6/30,Q2,2004
193,Q4 2005,3539.0,King Kong,Universal Pictures,218080025.0,2005/12/14,2005/12/31,Q4,2005
75,Q3 2005,3534.0,Charlie and the Chocolate Factory,Warner Bros.,206459076.0,2005/7/15,2005/9/30,Q3,2005
336,Q4 2005,3533.0,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Walt Disney Studios Motion Pictures,287482269.0,2005/12/9,2005/12/31,Q4,2005
45,Q2 2005,3535.0,Batman Begins,Warner Bros.,205343774.0,2005/6/15,2005/6/30,Q2,2005
233,Q2 2005,3537.0,Mr. & Mrs. Smith,Twentieth Century Fox,186283815.0,2005/6/10,2005/6/30,Q2,2005
436,Q2 2005,3532.0,War of the Worlds,Paramount Pictures,234280354.0,2005/6/29,2005/6/30,Q2,2005
312,Q2 2005,3530.0,Star Wars: Episode III - Revenge of the Sith,Twentieth Century Fox,380270577.0,2005/5/19,2005/6/30,Q2,2005
146,Q4 2005,3531.0,Harry Potter and the Goblet of Fire,Warner Bros.,290013036.0,2005/11/18,2005/12/31,Q4,2005
204,Q2 2005,3536.0,Madagascar,DreamWorks Distribution,193595521.0,2005/5/27,2005/6/30,Q2,2005
438,Q3 2005,3619.0,Wedding Crashers,New Line Cinema,209255921.0,2005/7/15,2005/9/30,Q3,2005
